Mac Prefix,Vendor Name,Private,Block Type,Last Update
000000,XEROX,False,MA-L,2015/11/17
000001,XEROX,False,MA-L,2015/11/17
000002,XEROX,False,MA-L,2015/11/17
000003,XEROX,False,MA-L,2015/11/17
000004,XEROX,False,MA-L,2015/11/17
000005,XEROX,False,MA-L,2015/11/17
000006,XEROX,False,MA-L,2015/11/17
000007,XEROX,False,MA-L,2015/11/17
000008,XEROX,False,MA-L,2015/11/17
000009,XEROX,False,MA-L,2015/11/17
00000A,OMRON TATEISI ELECTRONICS CO,False,MA-L,2015/11/17
00000B,MATRIX,False,MA-L,2015/11/17
00000C,Cisco Systems,False,MA-L,2015/11/17
00000D,FIBRONICS,False,MA-L,2015/11/17
00000E,FUJITSU,False,MA-L,2018/10/13
00000F,NEXT,False,MA-L,2015/11/17
000010,SYTEK,False,MA-L,2015/11/17
000011,NORMEREL SYSTEMES,False,MA-L,2015/11/17
000012,INFORMATION TECHNOLOGY,False,MA-L,2015/11/17
000013,CAMEX,False,MA-L,2015/11/17
000014,NETRONIX,False,MA-L,2015/11/17
000015,DATAPOINT,False,MA-L,2015/11/17
000016,DU PONT PIXEL SYSTEMS,False,MA-L,2015/11/17
000017,Oracle,False,MA-L,2015/11/17
000018,WEBSTER COMPUTER,False,MA-L,2015/11/17
000019,APPLIED DYNAMICS INTERNATIONAL,False,MA-L,2015/11/17
00001A,ADVANCED MICRO DEVICES,False,MA-L,2015/11/17
00001B,Novell,False,MA-L,2016/04/27
00001C,BELL TECHNOLOGIES,False,MA-L,2015/11/17
00001D,Cabletron Systems,False,MA-L,2015/11/17
00001E,TELSIST INDUSTRIA ELECTRONICA,False,MA-L,2015/11/17
00001F,Telco Systems,False,MA-L,2015/11/17
000020,DATAINDUSTRIER DIAB,False,MA-L,2015/11/17
000021,SUREMAN COMP & COMMUN,False,MA-L,2015/11/17
000022,VISUAL TECHNOLOGY,False,MA-L,2015/11/17
000023,ABB INDUSTRIAL SYSTEMS,False,MA-L,2015/11/17
000024,CONNECT AS,False,MA-L,2015/11/17
000025,RAMTEK,False,MA-L,2015/11/17
000026,SHA-KEN CO,False,MA-L,2015/11/17
000027,JAPAN RADIO COMPANY,False,MA-L,2015/11/17
000028,PRODIGY SYSTEMS,False,MA-L,2015/11/17
000029,IMC NETWORKS,False,MA-L,2015/11/17
00002A,TRW - SEDD/INP,False,MA-L,2015/11/17
00002B,CRISP AUTOMATION,False,MA-L,2015/11/17
00002C,AUTOTOTE,False,MA-L,2015/11/17
00002D,CHROMATICS,False,MA-L,2015/11/17
00002E,SOCIETE EVIRA,False,MA-L,2015/11/17
00002F,TIMEPLEX,False,MA-L,2015/11/17
000030,VG LABORATORY SYSTEMS,False,MA-L,2015/11/17
000031,QPSX COMMUNICATIONS,False,MA-L,2016/04/11
000032,Marconi plc,False,MA-L,2015/11/17
000033,EGAN MACHINERY COMPANY,False,MA-L,2015/11/17
000034,NETWORK RESOURCES,False,MA-L,2015/11/17
000035,SPECTRAGRAPHICS,False,MA-L,2015/11/17
000036,ATARI,False,MA-L,2015/11/17
000037,OXFORD METRICS,False,MA-L,2015/11/17
000038,CSS LABS,False,MA-L,2015/11/17
000039,TOSHIBA,False,MA-L,2015/11/17
00003A,CHYRON,False,MA-L,2015/11/17
00003B,i Controls,False,MA-L,2015/11/17
00003C,AUSPEX SYSTEMS,False,MA-L,2015/11/17
00003D,UNISYS,False,MA-L,2015/11/17
00003E,SIMPACT,False,MA-L,2015/11/17
00003F,SYNTREX,False,MA-L,2015/11/17
000040,APPLICON,False,MA-L,2015/11/17
000041,ICE,False,MA-L,2015/11/17
000042,METIER MANAGEMENT SYSTEMS,False,MA-L,2015/11/17
000043,MICRO TECHNOLOGY,False,MA-L,2015/11/17
000044,CASTELLE,False,MA-L,2015/11/17
000045,FORD AEROSPACE & COMM,False,MA-L,2015/11/17
000046,OLIVETTI NORTH AMERICA,False,MA-L,2015/11/17
000047,NICOLET INSTRUMENTS,False,MA-L,2015/11/17
000048,Seiko Epson,False,MA-L,2019/07/02
000049,APRICOT COMPUTERS,False,MA-L,2015/11/17
00004A,ADC CODENOLL TECHNOLOGY,False,MA-L,2015/11/17
00004B,ICL DATA OY,False,MA-L,2015/11/17
00004C,NEC,False,MA-L,2019/07/02
00004D,DCI,False,MA-L,2015/11/17
00004E,AMPEX,False,MA-L,2015/11/17
00004F,LOGICRAFT,False,MA-L,2015/11/17
000050,RADISYS,False,MA-L,2015/11/17
000051,HOB ELECTRONIC & CO KG,False,MA-L,2015/11/17
000052,Intrusioncom,False,MA-L,2001/10/24
000053,COMPUCORP,False,MA-L,2015/11/17
000054,Schneider Electric,False,MA-L,2015/11/17
000055,COMMISSARIAT A L`ENERGIE ATOM,False,MA-L,2015/11/17
000056,DR B STRUCK,False,MA-L,2015/11/17
000057,SCITEX,False,MA-L,2015/11/17
000058,RACORE COMPUTER PRODUCTS,False,MA-L,2015/11/17
000059,Hellige,False,MA-L,2015/11/17
00005A,SysKonnect,False,MA-L,2015/11/17
00005B,ELTEC ELEKTRONIK,False,MA-L,2015/11/17
00005C,TELEMATICS INTERNATIONAL,False,MA-L,2015/11/17
00005D,CS TELECOM,False,MA-L,2015/11/17
00005E,ICANN IANA Department,False,MA-L,2015/11/17
00005F,Sumitomo Electric Industries,False,MA-L,2020/05/28
000060,Kontron Europe,False,MA-L,2021/04/02
000061,GATEWAY COMMUNICATIONS,False,MA-L,2015/11/17
000062,BULL HN INFORMATION SYSTEMS,False,MA-L,2015/11/17
000063,BARCO CONTROL ROOMS,False,MA-L,2015/11/17
000064,Yokogawa Digital Computer,False,MA-L,2016/08/12
000065,Network General,False,MA-L,2015/11/17
000066,TALARIS SYSTEMS,False,MA-L,2015/11/17
000067,SOFT * RITE,False,MA-L,2015/11/17
000068,ROSEMOUNT CONTROLS,False,MA-L,2015/11/17
000069,CONCORD COMMUNICATIONS,False,MA-L,2015/11/17
00006A,COMPUTER CONSOLES,False,MA-L,2015/11/17
00006B,Silicon Graphics,False,MA-L,2019/07/02
00006C,Schneider Electric,False,MA-L,2025/02/11
00006D,CRAY COMMUNICATIONS,False,MA-L,2015/11/17
00006E,Artisoft,False,MA-L,2015/11/17
00006F,Madge,False,MA-L,2015/11/17
000070,HCL,False,MA-L,2015/11/17
000071,ADRA SYSTEMS,False,MA-L,2015/11/17
000072,MINIWARE TECHNOLOGY,False,MA-L,2015/11/17
000073,SIECOR,False,MA-L,2015/11/17
000074,RICOH COMPANY,False,MA-L,2015/11/17
000075,Nortel Networks,False,MA-L,2015/11/17
000076,ABEKAS VIDEO SYSTEM,False,MA-L,2015/11/17
000077,INTERPHASE,False,MA-L,2015/11/17
000078,LABTAM,False,MA-L,2015/11/17
000079,NETWORTH,False,MA-L,2015/11/17
00007A,DANA COMPUTER,False,MA-L,2015/11/17
00007B,RESEARCH MACHINES,False,MA-L,2015/11/17
00007C,AMPERE,False,MA-L,2015/11/17
00007D,Oracle,False,MA-L,2015/11/17
00007E,CLUSTRIX,False,MA-L,2015/11/17
00007F,LINOTYPE-HELL,False,MA-L,2015/11/17
000080,CRAY COMMUNICATIONS A/S,False,MA-L,2015/11/17
000081,Bay Networks,False,MA-L,2015/11/17
000082,LECTRA SYSTEMES,False,MA-L,2015/11/17
000083,TADPOLE TECHNOLOGY PLC,False,MA-L,2015/11/17
000084,SUPERNET,False,MA-L,2015/11/17
000085,CANON,False,MA-L,2015/11/17
000086,MEGAHERTZ,False,MA-L,2015/11/17
000087,HITACHI,False,MA-L,2015/11/17
000088,Brocade Communications Systems,False,MA-L,2020/02/25
000089,CAYMAN SYSTEMS,False,MA-L,2015/11/17
00008A,DATAHOUSE INFORMATION SYSTEMS,False,MA-L,2015/11/17
00008B,INFOTRON,False,MA-L,2015/11/17
00008C,Alloy Computer Products (Australia) Pty,False,MA-L,2015/11/17
00008D,Cryptek,False,MA-L,2015/11/17
00008E,SOLBOURNE COMPUTER,False,MA-L,2015/11/17
00008F,Raytheon,False,MA-L,2015/11/17
000090,MICROCOM,False,MA-L,2015/11/17
000091,ANRITSU,False,MA-L,2015/11/17
000092,COGENT DATA TECHNOLOGIES,False,MA-L,2015/11/17
000093,PROTEON,False,MA-L,2015/11/17
000094,ASANTE TECHNOLOGIES,False,MA-L,2015/11/17
000095,SONY TEKTRONIX,False,MA-L,2015/11/17
000096,MARCONI ELECTRONICS,False,MA-L,2015/11/17
000097,Dell EMC,False,MA-L,2017/07/26
000098,CROSSCOMM,False,MA-L,2015/11/17
000099,MTX,False,MA-L,2015/11/17
00009A,RC COMPUTER A/S,False,MA-L,2015/11/17
00009B,INFORMATION INTERNATIONAL,False,MA-L,2015/11/17
00009C,ROLM MIL-SPEC COMPUTERS,False,MA-L,2015/11/17
00009D,LOCUS COMPUTING,False,MA-L,2015/11/17
00009E,MARLI,False,MA-L,2015/11/17
00009F,AMERISTAR TECHNOLOGIES,False,MA-L,2015/11/17
0000A0,SANYO Electric Co,False,MA-L,2015/11/17
0000A1,MARQUETTE ELECTRIC CO,False,MA-L,2015/11/17
0000A2,Bay Networks,False,MA-L,2015/11/17
0000A3,NETWORK APPLICATION TECHNOLOGY,False,MA-L,2015/11/17
